August,book,9.63
June,food,5.90
July,clothing,3.17
July,supplies,2.31
May,supplies,7.49
February,supplies,5.40
December,clothing,10.94
March,food,8.85
February,book,6.26
March,clothing,5.41
December,food,7.74
September,supplies,7.24
October,clothing,9.32
March,book,7.96
January,food,7.44
February,clothing,7.96
December,food,7.31
February,supplies,6.08
July,supplies,2.35
November,book,1.43
March,food,6.10
May,supplies,3.96
August,clothing,2.83
January,clothing,1.25
February,clothing,6.08
October,food,8.71
August,supplies,8.86
September,clothing,7.52
August,food,7.10
